servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.8, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
servo0_data:1.1, servo1_data:0.4, servo2_data:0.6, servo3_data:-0.2, servo4_data:0.7, servo5_data:-0.2, servo6_data:-0.1
